,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
23,Unnamed: 23,1,5/11:00,Monday,Male,32,10th,Truck I,Isuzu truck,3-13454 A M,2010,D/elias,2011,Reckless driving,Simple injury,21,Student,1,1,0
24,Unnamed: 24,1,5/14:00,Monday,Male,50,10th,Public transport I,Minibus,3-12595 A M,2010,Wonka,2011,Technical problem,Death,27,Housewife,1,0,1
25,Unnamed: 25,1,5/12:30,Monday,Male,34,Degree,Public transport I,Boxer Motor,2-6747 A M,2010,D/markos,2011,Speed,Death,20,Merchant,1,0,1
26,Unnamed: 26,1,5/19:00,Monday,Male,22,10th,Public transport I,Minibus,3 - 21683 A M,2010,Nefasam,2011,Speed,Death,25,Farmer,1,1,0
27,Unnamed: 27,1,6/10:00,Tuesday,Male,18,10th,Truck I,Isuzu truck,3-21114 A A,2010,D/Markos,2011,Speed,Serious injury,40,Unemployed,1,1,0
28,Unnamed: 28,1,6/11:00,Tuesday,Male,38,10th,Public transport I,Public FSR,3-12574 A M,2010,Yejube,2011,Slipped,Death,23,Farmer,1,1,0
29,Unnamed: 29,1,6/15:30,Tuesday,Male,27,10th,Taxi I,Bajaj,1-21247 A M,2010,Rob gebeya,2011,Speed,Simple Injury,10,Student,1,1,0
30,Unnamed: 30,1,6/15:30,Tuesday,Male,57,Diploma,Taxi I,Bajaj,1-33250 A M,2010,D/markos,2011,Speed,Simple Injury,28,Civil servant,1,0,1
31,Unnamed: 31,1,6/19:00,Tuesday,Male,41,Degree,Truck I,Lifan,3-23429 A M,2010,Dejen,2011,Failure to give priority to pedestrians,Death,71,Farmer,1,0,1
32,Unnamed: 32,1,6/21:00,Tuesday,Male,34,10th,Public transport I,Dolphin,3-20940 A M,2010,Robgebya,2011,Failure to yield the right of way for other vehicle,Death,23,Student,1,0,1
33,Unnamed: 33,1,7/13:00,Wednesday,Male,22,10th,Taxi I ,Force Bajaj,1-33257 A M,2010,D/Markos,2011,Carelessness,Simple Injury,43,Merchant,1,0,1
34,Unnamed: 34,1,7/16:00,Wednesday,Male,23,10+3,Truck II,FSR,3-23591 E T,2010,Felegeberhan,2011,Fatigue,Serious Injury,23,Civil servant,1,0,1
35,Unnamed: 35,1,7/19:00,Wednesday,Male,40,Diploma,Public transport II,Tata bus,3-13689 E T,2010,Mertolemariam,2011,Carelessness,Death,55,Farmer,1,1,0
36,Unnamed: 36,1,8/07:00,Thursday,Male,54,10th,Public transport I,Public Isuzu,3-09382 A M,2010,Hulet eju,2011,Incorrect U-turn,Serious Injury,23,Merchant,1,1,0
37,Unnamed: 37,1,8/10:00,Thursday,Male,45,10th,Truck I,Truck Isuzu,3-12168 A M,2010,Fendeka,2011,Speed,Death,20,Student,1,0,1
38,Unnamed: 38,1,8/16:30,Thursday,Male,19,8th,Truck I,Truck Isuzu ,3-11884 A A,2010,Amanuel,2011,Reckless driving,Simple Injury,11,Student,1,1,0
39,Unnamed: 39,1,8/19:30,Thursday,Male,64,12th,Truck III,Iveco Trucker,3-32432 E T,2010,Motta,2012,Fatigue,Death,82,Farmer,1,1,0
40,Unnamed: 40,1,9/9:00,Friday,Male,25,10th,Public transport II,TataBus,3-04731 A M,2010,Gudalema,2011,Fatigue,Serious Injury,17,Farmer,1,1,0
41,Unnamed: 41,1,9/12:00,Friday,Male,29,Degree,Public transport I,Hilux double cap,4-14593 A M,2010,Amber,2011,Speed,Simple injury,19,Wood worker,1,1,0
42,Unnamed: 42,1,9/15:30,Friday,Male,43,10th,Truck I,Truck Isuzu,3-14060 A A,2010,Amber,2011,Speed,Death,32,Farmer,1,0,1
43,Unnamed: 43,1,9/17:30,Friday,Male,22,10th,Public transport II,TataBus,3-43251 A A,2010,Yejube,2011,Carelessness,Serious Injury,25,Farmer,1,1,0
44,Unnamed: 44,1,10/08:00,Saturday,Male,31,8th,Public transport II,Abay bus,3-12090 A A,2010,Dejen,2011,Failure to give priority to pedestrians,Seriou Injury,21,Daily worker,1,0,1
45,Unnamed: 45,1,10/12:00,Saturday,Male,23,10th,Taxi I,Bajaj,1-31252 A M,2010,Amanuel,2011,Speed,Serious Injury ,39/46/40,Daily workers,3,2,1
46,Unnamed: 46,1,10/18:30,Saturday,Male,31,10th,Taxi I,Bajaj,1-32087 A M,2010,D/Markos,2011,Incorrcet overtaking ,Death,35,Housewife,1,0,1
47,Unnamed: 47,1,10/21:00,Saturday,Male,27,10th,Taxi I,Bajaj,1-33852 A M,2010,Bichena,2011,Speed,Serious Injury ,39/46/40,Daily workers,3,2,1
48,Unnamed: 48,1,10/22:30,Saturday,Male,21,10th,Taxi I,Bajaj,1-13287 A M,2010,Amanuel,2012,Incorrcet overtaking ,Death,35,Housewife,1,0,1
49,Unnamed: 49,1,10/23:30,Saturday,Male,34,10th,Truck I,Dolphin,3-12398 A M,2010,Zemeten,2011,Incorrcet U-turn,Death ,65,Farmer,1,1,0
50,Unnamed: 50,1,10/23:30,Saturday,Male,54,10+2,Truck I,Isuzu Truck,3-31377 A A,2010,D/Markos,2011,Speed,Serious Injury,31,Driver,1,1,0
51,Unnamed: 51,1,10/23:30,Saturday,Male,34,10th,Public transport I,Isuzu Truck,3-96257 A A,2010,Wonka,2011,Incorrect overtaking ,Serious Injury,55,Farmer,1,1,0
52,Unnamed: 52,1,11/06:00,Sunday,Male,49,10th,Truck II,FSR,3-98717 A A,2010,Chemoga,2011,Speed,Death,26,Driver,1,1,0
53,Unnamed: 53,1,11/08:30,Sunday,Male,28,12th,Truck I,Isuzu truck,3-33819 A M,2010,Woyen wuha,2011,Incorrect overtaking ,Simple Injury,18/24,Student / Mason,2,2,0
54,Unnamed: 54,1,11/09:00,Sunday,Male,43,6th,Public transport I ,Public Isuzu,3-29894 A M,2010,Wonka,2011,Speed,Serious  injury,27/2,Teacher/unemployed,2,1,1
55,Unnamed: 55,1,11/09:00,Sunday,Male,29,10th,Truck II,FSR,3-24579 A M,2010,Wojel,2011,Fatigue,Serious injury,25,Driver,1,1,0
56,Unnamed: 56,1,11/10:00,Sunday,Male,30,10th,Taxi I,Force bajaj,1-39121 A M,2010,D/Markos,2011,Carelessness,Simple injury,40,Teacher,1,0,1
57,Unnamed: 57,1,11/16:00,Sunday,Male,29,12th,Public transport I,Isuzu Truck,3-09484 A M,2010,Wonka,2011,Speed,Serious Injury,21,Barber,1,1,0
58,Unnamed: 58,1,12/09:00,Monday,Male,28,Diploma,Public transport I,Abadula,3-10922 A M,2010,Shafod gaguma,2011,Failure to give priority to pedestrians,Death,27,Civil servant,1,0,1
59,Unnamed: 59,1,12/11:30,Monday,Male,34,12th,Public transport I,Isuzu Truck,3-07941 A M,2010,Bichena,2011,Incorrect U-turn,Death,15,student,1,1,0
60,Unnamed: 60,1,12/15:00,Monday,Male,67,Diploma,Truck II,Sinotruk,3-34724 A M,2010,D/markos,2011,Technical problem,Death,20,Student,1,1,0
61,Unnamed: 61,1,12/08:15,Monday,Male,39,12th,Public transport II,Abay Bus,3-12867 E T,2010,Amanuel,2011,Speed,Serious Injury,40,Farmer,1,1,0
62,Unnamed: 62,1,13/10:00,Tuesday,Male,28,8th,Truck I,Obama Isuzu,3-15553 A M,2010,Amanuel,2011,Slipped,Death,29,Teacher,1,0,1
63,Unnamed: 63,1,13/13:00,Tuesday,Male,45,10th,Truck II,Sinotruk,3-23260 A M,2010,Merto lemariam,2011,Speed,Death,64,Farmer,1,0,1
64,Unnamed: 64,1,13/17:00,Tuesday,Male,34,8th,Truck II,FSR,3-24352 A A,2010,Yetmen,2011,Reckless driving,Death,24,Unemployed,1,0,1
65,Unnamed: 65,1,13/19:00,Tuesday,Male,32,10th,Public transport I,Dolphin,3-30903 O R,2010,Amber,2011,Failure to give priority to pedestrians,Death,58,Farmer,1,1,0
66,Unnamed: 66,1,13/19:00,Tuesday,Male,22,10th,Public transport I,Public Isuzu,3-06994 A M,2010,D/Elias,2011,Technical problem,Death,46,Farmer,1,1,0
67,Unnamed: 67,1,14/11:30,Wednesday,Male,37,10th,Public transport I,Minibus,3-11296 O R,2010,Amanuel,2011,Speed,Death,46,Priest,1,1,0
68,Unnamed: 68,1,14/15:30,Wednesday,Male,34,12th,Truck I,Land Cruiser,3-32931 E T,2010,Gonch,2011,Speed,Death,55,Farmer,1,0,1
69,Unnamed: 69,1,14/19:00,Wednesday,Male,28,10th,Truck I,Isuzu truck,3-25932 A A,2010,Zemeten,2011,Technical problem,Death,28,Driver,1,1,0
70,Unnamed: 70,1,15/9:00,Thursday,Male,21,10th,Public transport I,Public isuzu,3-11645 A M,2010,D/Elias,2011,Speed,Death,18,Daily worker,1,0,1
71,Unnamed: 71,1,15/12:45,Thursday,Male,32,8th,Public transport I,Public isuzu,3-22282 A M,2010,Motta,2011,Reckless driving,Serious injury,33,Car attendant,1,1,0
72,Unnamed: 72,1,15/16:00,Thursday,Male,42,10th,Truck II,FSR,3-31745 A M,2010,Nefasam,2011,Reckless driving,Serious injury,21,Farmer,1,0,1
73,Unnamed: 73,1,16/9:30,Friday,Male,37,12th,Public transport II,Obama Isuzu,3-11684 A A,2010,Amanuel,2011,Speed,Death,25,Priest,1,1,0
74,Unnamed: 74,1,16/11:00,Friday,Male,32,10+3,Public transport I,Minibus,3-09927 A M,2010,Felege berhan,2011,Speed,Death,30/35,Federal police,1,1,0
75,Unnamed: 75,1,16/16:00,Friday,Male,25,10th,Truck III,Iveco truck,3-43338 E T,2010,Amanuel,2011,Fatigue,Death,25,Car attendant,1,1,0
76,Unnamed: 76,1,17/07:00,Saturday,Male,42,10th,Public transport I,Abadula,3-22788 A M,2010,Fendeka,2011,Incorrect overtaking,Death,15,Student,1,0,1
77,Unnamed: 77,1,17/11:30,Saturday,Male,26,10th,Public transport I,Public isuzu,3-09005 A M,2010,D/Elias,2011,Reckless driving,Death,8,Student,1,1,0
78,Unnamed: 78,1,17/13:00,Saturday,Male,33,8th,Truck II,FSR,3-39484 A A,2010,Mertolemariam,2011,Speed,Serious injury/Death,23/14,Farmer/student,2,2,0
79,Unnamed: 79,1,17/15:40,Saturday,Male,28,Degree,Taxi I,Bajaj,1-09786 A M,2010,Amanuel,2011,Carelessness,Serious injury,14,Student,1,0,1
80,Unnamed: 80,1,17/17:00,Saturday,Male,25,12th,Public transport I,Public isuzu,3-13009 A M,2010,Degotsion,2011,Reckless driving,Death,15,student,1,0,1
81,Unnamed: 81,1,18/14:00,Sunday,Male,42,10th,Truck II,Sinotruck,3-21947 A M,2010,Bichena,2011,Sudden turn,Death,41,Farmer,1,1,0
82,Unnamed: 82,1,18/17:00,Sunday,Male,27,10th,Public transport I,Public isuzu,3-09104 A M,2010,Libanos,2011,Speed,Death,4,Unemployed,1,0,1
83,Unnamed: 83,1,18/22:30,Sunday,Male,44,Degree,Taxi II,Minibus,1-21090 A M,2010,Fendeka,2011,Slipped,Serious injury,27/34/54/21,Civil servant/Merchant/Farmer/Farmer,4,3,1
84,Unnamed: 84,1,18/10:00,Sunday,Male,32,10th,Public transport I,Public isuzu,3-06800 A M,2010,Hager hiwot,2011,Failure to give priority to pedestrians,Serious injury,21,Unemployed,1,0,1
85,Unnamed: 85,1,19/09:00,Monday,Male,43,10th,Public transport I,Public isuzu,3-13262 A M,2010,Amanuel,2011,Speed,Simple injury,22/29,Car attendant/civil servant,2,1,1
86,Unnamed: 86,1,19/13:00,Monday,Male,31,8th,Public transport I,Abadula,3-11814 A M,2010,Enebse,2011,Technical problem,Death,22,Daily worker,1,0,1
87,Unnamed: 87,1,19/16:00,Monday,Male,27,10th,Truck I,Isuzu truck,3-29376 A A,2010,Wonka,2011,Speed,Simple injury,46,Farmer,1,0,1
88,Unnamed: 88,1,19/19:30,Monday,Male,26,10th,Taxi I,Bajaj,1-12331 A M,2010,D/Markos,2011,Sudden turn,Serious injury,7,Student,1,0,1
89,Unnamed: 89,1,20/06:20,Tuesday,Male,36,8th,Truck II,FSR,3-09858 A A,2010,Wubie nechefo,2011,Reckless driving,Death,38,Merchant,1,0,1
90,Unnamed: 90,1,20/10:00,Tuesday,Male,32,10th,Public transport I,Abadula,3-03319 A M,2010,Keraniyo,2011,Speed,Death,6,Student,1,0,1
91,Unnamed: 91,1,20/15:00,Tuesday,Male,28,10th,Truck II,Sinotruk,3-26065 E T,2010,Addis alem,2011,Failure to give priority to pedestrians,Death,12,Student,1,0,1
92,Unnamed: 92,1,20/18:30,Tuesday,Male,30,10th,Public transport I,Public isuzu,3-08597 A M,2010,Segnogebeya,2011,Speed,Death,37,Farmer,1,1,0
93,Unnamed: 93,1,20/19:20,Tuesday,Male,34,10th,Public transport I,Abadula,3-05965 A M,2010,Bichena ,2011,Speed,Death,69,Farmer,1,1,0
94,Unnamed: 94,1,21/12:00,Wednesday,Male,19,10th,Public transport I,Public isuzu,3-23735 O R,2010,Bichena,2011,Incoorect U-turn,Death,25/52,Engineer/Driver,2,1,1
95,Unnamed: 95,1,21/14:00,Wednesday,Male,34,10th,Public transport I,Dolphin,3-35590 A M,2010,Debre gubaye,2011,Speed,Death,21,Farmer,1,1,0
96,Unnamed: 96,1,21/17:40,Wednesday,Male,21,12th,Taxi I,Bajaj,1-20217 A M,2010,Motta,2011,Failure to give priority to pedestrians,Death,7,Student,1,0,1
97,Unnamed: 97,1,22/13:00,Thursday,Male,25,10th,Truck I,Isuzu truck,3-09974 A M,2010,Wuger,2011,Speed,Death,25,Police,1,0,1
98,Unnamed: 98,1,22/14:30,Thursday,Male,32,11th,Public transport I,Public isuzu,3-15323 A M,2010,Hager hiwot,2011,Failure to give priority to pedestrians,Death/ Serious injury,45/7,Farmer/Student,2,1,1
99,Unnamed: 99,1,22/19:00,Thursday,Male,24,8th,Public transport I,Hayruf,3-22208 A M,2010,Nefasam,2011,Speed,Death,13/14,Student,2,1,1
100,Unnamed: 100,1,23/09:40,Friday,Male,42,10th,Truck II,FSR,3-30791 A A,2010,Keraniyo,2011,Reckless driving,Death,32,Driver,1,1,0
101,Unnamed: 101,1,23/11:30,Friday,Male,36,10th,Public transport I,Public isuzu,3-07942 A M,2010,Debaytelat,2011,Speed,Simple Injury,54,Farmer,1,1,0
102,Unnamed: 102,1,23/12:00,Friday,Male,34,10+3,Truck I,Pick up,3-14991 A M,2010,Enaregenawega,2011,Slipped,Death,5,Student,1,0,1
103,Unnamed: 103,1,24/11:00,Saturday,Male,28,10th,Public transport I,Ambulance,4-0599 A M,2010,D/Markos,2011,Speed,Death,54,House wife,1,0,1
104,Unnamed: 104,1,24/15:00,Saturday,Male,37,10th,Truck I,Pick up,4-32426 A M,2010,Robgebeya,2011,Reckless driving,Serious injury,13,Student,1,0,1
105,Unnamed: 105,1,24/19:00,Saturday,Male,26,10th,Public transport I,Abadula,3-19020 A M,2010,Motta,2011,Speed,Death,31,Civil servant,1,0,1
106,Unnamed: 106,1,24/19:00,Saturday,Male,27,8th,Public transport II,Abay bus,3-75203 E T,2010,Felege birhan,2011,Speed,Death/Simple injury,50/12,Daily worker/Daily worker,2,0,2
107,Unnamed: 107,1,24/23:30,Saturday,Male,26,8th,Truck III,Mitsubishi,3-29265 E T,2010,Dejen,2011,Fatigue,Death/Serious injury,34/21,Car attendant/Driver,2,2,0
108,Unnamed: 108,1,25/10:00,Sunday,Male,32,9th,Taxi I,Force bajaj,1-05451 A M,2010,Gudalema,2011,Reckless driving,Simple injury,33,Civil servant,1,1,0
109,Unnamed: 109,1,25/15:00,Sunday,Male,28,10+2,Taxi I,Bajaj,1-24990 A M,2010,D/Markos,2011,Reckless driving,Simple injury,25,Unemployed,1,1,0
110,Unnamed: 110,1,25/17:00,Sunday,Male,29,10th,Public transport I,Public isuzu,3-44556 A M,2010,D/Elias,2011,Bad weather condition,Death,18,Student,1,1,0
111,Unnamed: 111,1,25/21:00,Sunday,Male,32,10th,Taxi I,Bajaj,1-29127 A M,2010,D/Markos,2011,Technical problem,Simple injury,23,Student,1,1,0
112,Unnamed: 112,1,26/09:00,Monday,Male,37,8th,Public transport I,Abadula,3-32435A M,2010,Amanuel,2011,Speed,Death,23,Daily worker,1,0,1
113,Unnamed: 113,1,26/12:00,Monday,Male,42,10th,Public transport I,Public isuzu,3-28269 A M,2010,Yebokela,2011,Bad weather condition,Death,14,House worker,1,0,1
114,Unnamed: 114,1,26/13:30,Monday,Male,23,12th,Public transport I,Abadula,3-14706 A M,2010,Gonecha siso enese,2011,Speed,Death,65,Merchant,1,1,0
115,Unnamed: 115,1,26/14:00,Monday,Male,35,10th,Public transport I,Hayruf,3-15449 A M,2010,Gudalema,2011,Speed,Death,38,Farmer,1,1,0
116,Unnamed: 116,1,27/15:00,Tuesday,Male,23,10th,Public transport I,Abadula,3-14697 A M,2010,wonka,2011,Carelessness,Serious injury,25,Driver,1,1,0
117,Unnamed: 117,1,27/15:30,Tuesday,Male,37,Diploma,Truck III,Lobed truck,3-36624 E T,2010,Yegodena,2011,Bad weather condition,Death,23,Farmer,1,1,0
118,Unnamed: 118,1,27/20:00,Tuesday,Male,28,8th,Public transport I,Abadula,3-16545 A M,2010,D/Markos,2011,Slipped,Death,24,Police,1,1,0
119,Unnamed: 119,1,27/20:50,Tuesday,Male,30,10th,Public transport I,Abadula,3-15482 A M,2010,D/elias,2011,Carelessness,Serious injury,32,Farmer,1,1,0
120,Unnamed: 120,1,27/21:00,Tuesday,Male,54,10th,Public transport I,Abadula,3-13448 A M,2010,Woynema,2011,Speed,Serious injury,6,Student,1,0,1
121,Unnamed: 121,1,28/12:00,Wednesday,Male,36,12th,Public transport I,Hayruf,3-23620 A M,2010,Yejube,2011,Speed,Simple injury,44,Farmer,1,0,1
122,Unnamed: 122,1,28/16:00,Wednesday,Male,32,11th,Public transport II,Bus,3-04364 E T,2010,Enemay,2011,Speed,Death,67,Farmer,1,1,0
123,Unnamed: 123,1,28/17:00,Wednesday,Male,47,10+3,Taxi I,Bajaj,1-23276 A M,2010,D/Markos,2011,Failure to give priority to pedestrians,Serious injury,18,Unemployed,1,0,1
124,Unnamed: 124,1,28/21:00,Wednesday,Male,55,10th,Truck II,Sinotruk,3-022506 E T,2010,Enarj enawega,2011,Slipped,Death,25,Farmer,1,1,0
125,Unnamed: 125,1,29/06:30,Thursday,Male,35,4th,Truck III,Turbo truck,3-11774 E T,2010,Bichena,2011,Slipped,Serious injury/Death,36,Job seeker,1,1,0
126,Unnamed: 126,1,29/08:00,Thursday,Male,65,10th,Public transport II,Zemen bus,3-03797 A A,2010,Woynema,2011,Speed,Simple injury,25,Driver,1,1,0
127,Unnamed: 127,1,29/9:30,Thursday,Male,45,10th,Truck I,Obama Truck,3-14708 A M,2010,Felege birhan,2011,Incorrect overtaking,Death,38,Priest,1,1,0
128,Unnamed: 128,1,29/17:30,Thursday,Male,41,10th,Public transport I,Public isuzu,3-43975 A M,2010,D/Markos,2011,Speed,Simple injury,26,House wife,1,0,1
129,Unnamed: 129,1,29/19:00,Thursday,Male,67,10th,Truck I,Isuzu truck,3-52319 A M,2010,Motta,2011,Fatigue,Death,50,House wife ,1,0,1
130,Unnamed: 130,1,30/11:00,Friday,Male,23,10th,Public transport I,Public isuzu,3-13600 A M,2010,Debay telat,2011,Technical problem,Death,26,Driver,1,1,0
131,Unnamed: 131,1,30/14:25,Friday,Male,35,Degree,Public transport I,Hilux toyota,3-54913 A A,2010,D/Markos,2011,Speed,Death,20,Student,1,0,1
132,Unnamed: 132,1,30/15:30,Friday,Male,28,8th,Public transport I,Public isuzu,3-22334 A M,2010, Amanuel,2011,Carelessness,Death,52,Farmer,1,1,0
133,Unnamed: 133,1,30/19:00,Friday,Male,24,10th,Public transport I,Public isuzu,3-16794 A M,2010,Bichena,2011,Failure to give priority to pedestrians,Death,60,House wife,1,0,1
134,Unnamed: 134,2,1/11:00,Saturday,Male,21,10th,Public transport I,Isuzu truck,3-13474 A M,2010,Amanuel,2011,Speed,Serious injury,32,Farmer,1,1,0
135,Unnamed: 135,2,1/11:25,Saturday,Male,32,Diploma,Public transport I,Isuzu truck,3-24913 A A,2010,Debre work,2011,Fatigue,Simple,26,Driver,1,1,0
136,Unnamed: 136,2,1/13:00,Saturday,Male,41,10th,Public transport I,Abadula,3-15688 A M,2010,Amber,2011,Incoorect U-turn,Death,46,Farmer,1,1,0
137,Unnamed: 137,2,2/12:00,Sunday,Male,28,11th,Truck II,Isuzu truck,2-16742 A M,2010,Yejube,2011,Speed,Death,52,Car attendant,1,1,0
138,Unnamed: 138,2,2/14:00,Sunday,Male,25,10th,Public transport I,Minibus,3-28790 A M,2010,Lumame,2011,Bad weathercondition,Death/serious injury,27/25,Farmer/Teacher,2,2,0
139,Unnamed: 139,2,2/17:00,Sunday,Male,26,10th,Public transport I,Toyota,3-65530 A M,2010,Felege berhan,2011,Fatigue,Serious injury,59,Unemployed,1,0,1
140,Unnamed: 140,2,2/19:00,Sunday,Male,31,10th,Public transport I,Isuzu,3-19993 A M,2010,Digo tsion,2011,Incorrect U-turn,Simple injury,26,Mason,1,1,0
141,Unnamed: 141,2,2/19:10,Sunday,Male,37,12th,Public transport I,Public isuzu,4-25678 A M,2010,Amanuel,2011,Fatigue,Serious injury,54,Teacher,1,1,0
142,Unnamed: 142,2,3/07:00,Monday,Male,19,10+2,Public transport I,Isuzu truck,3-95981 A M,2010,Lumame,2011,Speed,Death,48,Driver,1,0,1
143,Unnamed: 143,2,3/10:40,Monday,Male,24,10th,Public transport I,Public isuzu,3-10829 A M,2010,Libanos,2011,Speed,Simple injury,32,Civil seravant,1,1,0
144,Unnamed: 144,2,3/15:30,Monday,Male,39,10th,Truck I,Isuzu truck,1-32710 A M,2010,D/Markos,2011,Failure to give priority to pedestrians,Simple Injury,53,Farmer,1,0,1
145,Unnamed: 145,2,4/08:00,Sunday,Male,21,10th,Public transport I,FSR,3-15163 A A,2010,Yetmen,2011,Speed,Death,56,Nurse,1,0,1
146,Unnamed: 146,2,4/09:00,Sunday,Male,37,10th,Public transport I,Tata bus,3-23774 E T,2010,Dejen,2011,Carelessness,Death,12,student,1,0,1
147,Unnamed: 147,2,4/15:30,Sunday,Male,48,10th,Truck II,Isuzu truck,3-12258 A A,2010,Felege berhan,2011,Speed,Serious injury,45,Farmer,1,1,0
148,Unnamed: 148,2,4/17:30,Sunday,Male,40,10th,Truck II,Iveco trucker,3-111473 E T,2010,Woynema,2011,Technical problem,Simple injury,40,Driver,1,1,0
149,Unnamed: 149,2,4/22:00,Sunday,Male,37,Diploma,Truck III,Lobed truck,3-29524 E T,2010,Yegodena,2011,Bad weather condition,Death,40,Farmer,1,0,1
150,Unnamed: 150,2,4/23:00,Sunday,Male,25,10th,Truck II,Isuzu truck,3-25367 A M,2010,Wonka,2011,Speed,Death,25,Police,1,1,0
151,Unnamed: 151,2,5/12:30,Monday,Male,29,10th,Truck II,Small dump truck,3-54671 A A,2010,Yejube,2011,Carelessness,Simple injury,32,Mechanic,1,1,0
152,Unnamed: 152,2,5/13:00,Monday,Male,27,10th,Truck I,Isuzu truck,3-27454 A M,2010,Yetnora,2011,Reckless driving,Simple injury,21,Student,1,1,0
153,Unnamed: 153,2,5/14:00,Monday,Male,50,10th,Public transport I,Abadula,3-17695 A M,2010,Wojel,2011,Technical problem,Death,54,Housewife,1,0,1
154,Unnamed: 154,2,5/18:30,Monday,Male,34,12th,Public transport I,Hayruf,2-26747 A M,2010,D/markos,2011,Speed,Death,32,Farmer,1,0,1
155,Unnamed: 155,2,5/19:20,Monday,Male,43,10th,Public transport I,Minibus,3 - 32683 A M,2010,Nefasam,2011,Speed,Death,25,Farmer,1,1,0
156,Unnamed: 156,2,6/09:00,Tuesday,Male,28,10th,Truck I,Isuzu truck,3-27614 A A,2010,D/Markos,2011,Speed,Serious injury,23,Unemployed,1,1,0
157,Unnamed: 157,2,6/12:00,Tuesday,Male,32,10th,Public transport I,FSR,3-32174 A M,2010,Wojel,2011,Slipped,Death,56,Engineer,1,1,0
158,Unnamed: 158,2,6/14:30,Tuesday,Male,27,10th,Taxi I,Bajaj,1-32247 A M,2010,Fendeka,2011,Speed,Serious Injury,14,Student,1,0,1
159,Unnamed: 159,2,6/18:30,Tuesday,Male,57,Degree,Truck I,Isuzu truck,1-21250 A M,2010,D/work,2011,Speed,Simple Injury,28,Civil servant,1,0,1
